;BAC;Fin;gen;graines;boite;grain;RANG;boite;rangOK;Debut;X;Y
1237;4;24;ELAX_426.sp;01:06;10;4;C;10;B;10;8;5
1110;4;30;GQAX_67.sp;01:06;2;4;C;2;C;4;9;5
1256;4;42;ELAX_480.sp;01:06;11;4;D;11;D;4;10;5
1245;4;72;ELAX_451.sp;01:06;10;4;G;10;F;10;11;5
1251;4;12;ELAX_465.sp;01:06;11;4;B;11;A;10;12;5
1253;4;24;ELAX_470.sp;01:06;11;4;C;11;B;10;13;5
1157;4;24;ELAX_188.sp;01:06;5;4;C;5;B;10;14;5
1092;4;18;GQAX_5.sp;01:06;1;4;B;1;B;4;15;5
1231;4;84;ELAX_407.sp;01:06;9;4;H;9;G;10;16;5
1240;4;42;ELAX_435.sp;01:06;10;4;D;10;D;4;1;6
1255;4;36;ELAX_476.sp;01:06;11;4;D;11;C;10;2;6
292;4;90;ELAX_329.sp;07:12;7Bis;1;H;7Bis;H;1;3;6
1233;4;96;ELAX_412.sp;01:06;9;4;I;9;H;10;4;6
299;4;36;ELAX_346.sp;07:12;8Bis;1;D;8Bis;C;7;5;6
1142;4;30;ELAX_131.sp;01:06;4;4;C;4;C;4;6;6
1185;4;96;ELAX_262.sp;01:06;6;4;I;6;H;10;7;6
1200;4;90;ELAX_329.sp;01:06;7;4;H;7;H;4;8;6
259;4;84;ELAX_207.sp;07:12;5Bis;1;H;5Bis;G;7;9;6
1134;4;78;ELAX_114.sp;01:06;3;4;G;3;G;4;10;6
1214;4;78;ELAX_367.sp;01:06;8;4;G;8;G;4;11;6
1270;4;48;ELAX_453;01:06;12;4;E;12;D;10;12;6
1263;4;84;ELAX_504.sp;01:06;11;4;H;11;G;10;13;6
1194;4;54;ELAX_303.sp;01:06;7;4;E;7;E;4;14;6
1260;4;66;ELAX_486.sp;01:06;11;4;F;11;F;4;15;6
1143;4;36;GQAX_140.sp;01:06;4;4;D;4;C;10;16;6
1232;4;90;ELAX_410.sp;01:06;9;4;H;9;H;4;1;7
1094;4;30;ELAX_9.sp;01:06;1;4;C;1;C;4;2;7
1229;4;72;ELAX_401.sp;01:06;9;4;G;9;F;10;3;7
1230;4;78;ELAX_402.sp;01:06;9;4;G;9;G;4;4;7
1208;4;42;ELAX_348.sp;01:06;8;4;D;8;D;4;5;7
