;BAC;Fin;gen;graines;boite;grain;RANG;boite;rang ok;Debut;X;Y
1918;6;42;ELAX_295.sp;01:06;7;6;D;7;D;6;9;8
1994;6;18;GQAX_139.sp;01:06;12;6;B;12;B;6;10;8
1862;6;90;ELAX_118.sp;01:06;3;6;H;3;H;6;11;8
1827;6;72;ELAX_35.sp;01:06;1;6;G;1;F;12;12;8
1891;6;72;ELAX_201.sp;01:06;5;6;G;5;F;12;13;8
1875;6;72;GQAX_166.sp;01:06;4;6;G;4;F;12;14;8
1916;6;30;ELAX_288.sp;01:06;7;6;C;7;C;6;15;8
1835;6;24;ELAX_65.sp;01:06;2;6;C;2;B;12;16;8
1897;6;12;ELAX_229.sp;01:06;6;6;B;6;A;12;1;9
1960;6;6;ELAX_415.sp;01:06;10;6;A;10;A;6;2;9
1902;6;42;ELAX_239.sp;01:06;6;6;D;6;D;6;3;9
199;6;12;ELAX_51.sp;07:12;2Bis;1;B;2Bis;A;7;4;9
1870;6;42;ELAX_145.sp;01:06;4;6;D;4;D;6;5;9
1884;6;30;GQAX_189.sp;01:06;5;6;C;5;C;6;6;9
1837;6;36;ELAX_68.sp;01:06;2;6;D;2;C;12;7;9
1865;6;12;ELAX_122.sp;01:06;4;6;B;4;A;12;8;9
1901;6;36;ELAX_237.sp;01:06;6;6;D;6;C;12;9;9
1972;6;78;ELAX_459.sp;01:06;10;6;G;10;G;6;10;9
1966;6;42;ELAX_435.sp;01:06;10;6;D;10;D;6;11;9
1847;6;96;GQAX_82.sp;01:06;2;6;I;2;H;12;12;9
1909;6;84;ELAX_252.sp;01:06;6;6;H;6;G;12;13;9
1982;6;42;ELAX_480.sp;01:06;11;6;D;11;D;6;14;9
1858;6;66;ELAX_101.sp;01:06;3;6;F;3;F;6;15;9
187;6;36;GQAX_10.sp;07:12;1Bis;1;D;1Bis;C;7;16;9
1915;6;24;ELAX_279.sp;01:06;7;6;C;7;B;12;1;10
1856;6;54;ELAX_99.sp;01:06;3;6;E;3;E;6;2;10
1882;6;18;ELAX_187.sp;01:06;5;6;B;5;B;6;3;10
1824;6;54;ELAX_28.sp;01:06;1;6;E;1;E;6;4;10
1861;6;84;ELAX_117.sp;01:06;3;6;H;3;G;12;5;10
1836;6;30;GQAX_67.sp;01:06;2;6;C;2;C;6;6;10
1904;6;54;ELAX_241.sp;01:06;6;6;E;6;E;6;7;10
1908;6;78;ELAX_251.sp;01:06;6;6;G;6;G;6;8;10
1949;6;36;ELAX_385.sp;01:06;9;6;D;9;C;12;9;10
1900;6;30;ELAX_235.sp;01:06;6;6;C;6;C;6;10;10
1933;6;36;ELAX_346.sp;01:06;8;6;D;8;C;12;11;10
1939;6;72;ELAX_366.sp;01:06;8;6;G;8;F;12;12;10
1946;6;18;ELAX_376.sp;01:06;9;6;B;9;B;6;13;10
1917;6;36;ELAX_292.sp;01:06;7;6;D;7;C;12;14;10
286;6;54;ELAX_303.sp;07:12;7Bis;1;E;7Bis;E;1;15;10
1996;6;48;ELAX_453;01:06;12;6;E;12;D;12;16;10
1947;6;24;ELAX_377.sp;01:06;9;6;C;9;B;12;1;11
1981;6;36;ELAX_476.sp;01:06;11;6;D;11;C;12;2;11
1840;6;54;ELAX_72.sp;01:06;2;6;E;2;E;6;3;11
1830;6;90;ELAX_40.sp;01:06;1;6;H;1;H;6;4;11
1822;6;42;ELAX_16.sp;01:06;1;6;D;1;D;6;5;11
1950;6;42;ELAX_387.sp;01:06;9;6;D;9;D;6;6;11
1962;6;18;ELAX_423.sp;01:06;10;6;B;10;B;6;7;11
1935;6;48;ELAX_350.sp;01:06;8;6;E;8;D;12;8;11
1895;6;96;ELAX_222.sp;01:06;5;6;I;5;H;12;9;11
1971;6;72;ELAX_451.sp;01:06;10;6;G;10;F;12;10;11
214;6;6;GQAX_83.sp;07:12;3Bis;1;A;3Bis;A;1;11;11
1985;6;60;ELAX_485.sp;01:06;11;6;F;11;E;12;12;11
1892;6;78;ELAX_202.sp;01:06;5;6;G;5;G;6;13;11
1844;6;78;GQAX_76.sp;01:06;2;6;G;2;G;6;14;11
1926;6;90;ELAX_329.sp;01:06;7;6;H;7;H;6;15;11
1890;6;66;ELAX_199.sp;01:06;5;6;F;5;F;6;16;11
1863;6;96;GQAX_119.sp;01:06;3;6;I;3;H;12;1;12
1984;6;54;ELAX_483.sp;01:06;11;6;E;11;E;6;2;12
1877;6;84;ELAX_176.sp;01:06;4;6;H;4;G;12;3;12
1881;6;12;ELAX_185.sp;01:06;5;6;B;5;A;12;4;12
1914;6;18;ELAX_278.sp;01:06;7;6;B;7;B;6;5;12
1867;6;24;ELAX_130.sp;01:06;4;6;C;4;B;12;6;12
1906;6;66;ELAX_244.sp;01:06;6;6;F;6;F;6;7;12
244;6;90;ELAX_179.sp;07:12;4Bis;1;H;4Bis;H;1;8;12
1991;6;96;GQAX_116.sp;01:06;11;6;I;11;H;12;9;12
262;6;6;ELAX_227.sp;07:12;6Bis;1;A;6Bis;A;1;10;12
1988;6;78;ELAX_489.sp;01:06;11;6;G;11;G;6;11;12
1922;6;66;ELAX_309.sp;01:06;7;6;F;7;F;6;12;12
1845;6;84;ELAX_143.sp;01:06;2;6;H;2;G;12;13;12
1841;6;60;ELAX_73.sp;01:06;2;6;F;2;E;12;14;12
1921;6;60;ELAX_305.sp;01:06;7;6;F;7;E;12;15;12
1894;6;90;ELAX_212.sp;01:06;5;6;H;5;H;6;16;12
1853;6;36;ELAX_94.sp;01:06;3;6;D;3;C;12;1;13
1973;6;84;ELAX_460.sp;01:06;10;6;H;10;G;12;2;13
1990;6;90;GQAX_112.sp;01:06;11;6;H;11;H;6;3;13
1955;6;72;ELAX_401.sp;01:06;9;6;G;9;F;12;4;13
1876;6;78;GQAX_175.sp;01:06;4;6;G;4;G;6;5;13
253;6;48;ELAX_195.sp;07:12;5Bis;1;E;5Bis;D;7;6;13
1969;6;60;ELAX_444.sp;01:06;10;6;F;10;E;12;7;13
1832;6;6;ELAX_49.sp;01:06;2;6;A;2;A;6;8;13
1834;6;18;ELAX_59.sp;01:06;2;6;B;2;B;6;9;13
1964;6;30;ELAX_427.sp;01:06;10;6;C;10;C;6;10;13
1829;6;84;ELAX_13.sp;01:06;1;6;H;1;G;12;11;13
1843;6;72;GQAX_75.sp;01:06;2;6;G;2;F;12;12;13
287;6;60;ELAX_305.sp;07:12;7Bis;1;F;7Bis;E;7;13;13
1842;6;66;ELAX_74.sp;01:06;2;6;F;2;F;6;14;13
1823;6;48;ELAX_27.sp;01:06;1;6;E;1;D;12;15;13
322;6;78;ELAX_402.sp;07:12;9Bis;1;G;9Bis;G;1;16;13
