;BAC;Fin;gen;graines;boite;grain;RANG;boite;Rang OK;Debut;X;Y
1598;5;12;ELAX_416.sp;01:06;10;5;B;10;A;11;9;9
1475;5;42;ELAX_69.sp;01:06;2;5;D;2;D;5;10;9
1487;5;18;ELAX_89.sp;01:06;3;5;B;3;B;5;11;9
301;5;48;ELAX_350.sp;07:12;8Bis;1;E;8Bis;D;7;12;9
1539;5;42;ELAX_239.sp;01:06;6;5;D;6;D;5;13;9
1551;5;18;ELAX_278.sp;01:06;7;5;B;7;B;5;14;9
1617;5;30;ELAX_474.sp;01:06;11;5;C;11;C;5;15;9
1515;5;90;ELAX_179.sp;01:06;4;5;H;4;H;5;16;9
1533;5;6;ELAX_227.sp;01:06;6;5;A;6;A;5;1;10
1488;5;24;GQAX_91.sp;01:06;3;5;C;3;B;11;2;10
1501;5;6;ELAX_120.sp;01:06;4;5;A;4;A;5;3;10
1622;5;60;ELAX_485.sp;01:06;11;5;F;11;E;11;4;10
316;5;42;ELAX_387.sp;07:12;9Bis;1;D;9Bis;D;1;5;10
1621;5;54;ELAX_483.sp;01:06;11;5;E;11;E;5;6;10
1498;5;84;ELAX_117.sp;01:06;3;5;H;3;G;11;7;10
1578;5;84;ELAX_368.sp;01:06;8;5;H;8;G;11;8;10
298;5;30;ELAX_345.sp;07:12;8Bis;1;C;8Bis;C;1;9;10
1564;5;96;ELAX_331.sp;01:06;7;5;I;7;H;11;10;10
200;5;18;ELAX_59.sp;07:12;2Bis;1;B;2Bis;B;1;11;10
1520;5;24;ELAX_188.sp;01:06;5;5;C;5;B;11;12;10
1595;5;90;ELAX_410.sp;01:06;9;5;H;9;H;5;13;10
1514;5;84;ELAX_176.sp;01:06;4;5;H;4;G;11;14;10
1554;5;36;ELAX_292.sp;01:06;7;5;D;7;C;11;15;10
1630;5;12;GQAX_138.sp;01:06;12;5;B;12;A;11;16;10
1506;5;36;GQAX_140.sp;01:06;4;5;D;4;C;11;1;11
1616;5;24;ELAX_470.sp;01:06;11;5;C;11;B;11;2;11
1607;5;66;ELAX_447.sp;01:06;10;5;F;10;F;5;3;11
1468;5;96;ELAX_41.sp;01:06;1;5;I;1;H;11;4;11
1608;5;72;ELAX_451.sp;01:06;10;5;G;10;F;11;5;11
1570;5;36;ELAX_346.sp;01:06;8;5;D;8;C;11;6;11
1580;5;96;ELAX_371.sp;01:06;8;5;I;8;H;11;7;11
1527;5;66;ELAX_199.sp;01:06;5;5;F;5;F;5;8;11
1541;5;54;ELAX_241.sp;01:06;6;5;E;6;E;5;9;11
1497;5;78;ELAX_114.sp;01:06;3;5;G;3;G;5;10;11
1565;5;6;ELAX_335.sp;01:06;8;5;A;8;A;5;11;11
1571;5;42;ELAX_348.sp;01:06;8;5;D;8;D;5;12;11
267;5;36;ELAX_237.sp;07:12;6Bis;1;D;6Bis;C;7;13;11
1603;5;42;ELAX_435.sp;01:06;10;5;D;10;D;5;14;11
1460;5;48;ELAX_27.sp;01:06;1;5;E;1;D;11;15;11
1465;5;78;ELAX_38.sp;01:06;1;5;G;1;G;5;16;11
1594;5;84;ELAX_407.sp;01:06;9;5;H;9;G;11;1;12
1559;5;66;ELAX_309.sp;01:06;7;5;F;7;F;5;2;12
1534;5;12;ELAX_229.sp;01:06;6;5;B;6;A;11;3;12
308;5;90;ELAX_370.sp;07:12;8Bis;1;H;8Bis;H;1;4;12
1555;5;42;ELAX_295.sp;01:06;7;5;D;7;D;5;5;12
284;5;42;ELAX_295.sp;07:12;7Bis;1;D;7Bis;D;1;6;12
1628;5;96;GQAX_116.sp;01:06;11;5;I;11;H;11;7;12
1528;5;72;ELAX_201.sp;01:06;5;5;G;5;F;11;8;12
1604;5;48;ELAX_436.sp;01:06;10;5;E;10;D;11;9;12
1482;5;84;ELAX_143.sp;01:06;2;5;H;2;G;11;10;12
1464;5;72;ELAX_35.sp;01:06;1;5;G;1;F;11;11;12
1499;5;90;ELAX_118.sp;01:06;3;5;H;3;H;5;12;12
1585;5;30;ELAX_383.sp;01:06;9;5;C;9;C;5;13;12
1494;5;60;ELAX_100.sp;01:06;3;5;F;3;E;11;14;12
1484;5;96;GQAX_82.sp;01:06;2;5;I;2;H;11;15;12
1556;5;48;ELAX_298.sp;01:06;7;5;E;7;D;11;16;12
1606;5;60;ELAX_444.sp;01:06;10;5;F;10;E;11;1;13
1602;5;36;ELAX_428.sp;01:06;10;5;D;10;C;11;2;13
235;5;36;GQAX_140.sp;07:12;4Bis;1;D;4Bis;C;7;3;13
1510;5;60;ELAX_153.sp;01:06;4;5;F;4;E;11;4;13
1605;5;54;ELAX_441.sp;01:06;10;5;E;10;E;5;5;13
1561;5;78;ELAX_315.sp;01:06;7;5;G;7;G;5;6;13
279;5;12;ELAX_268.sp;07:12;7Bis;1;B;7Bis;A;7;7;13
186;5;30;ELAX_9.sp;07:12;1Bis;1;C;1Bis;C;1;8;13
1547;5;90;ELAX_261.sp;01:06;6;5;H;6;H;5;9;13
1535;5;18;ELAX_230.sp;01:06;6;5;B;6;B;5;10;13
1543;5;66;ELAX_244.sp;01:06;6;5;F;6;F;5;11;13
1566;5;12;ELAX_336.sp;01:06;8;5;B;8;A;11;12;13
1500;5;96;GQAX_119.sp;01:06;3;5;I;3;H;11;13;13
1589;5;54;ELAX_394.sp;01:06;9;5;E;9;E;5;14;13
1610;5;84;ELAX_460.sp;01:06;10;5;H;10;G;11;15;13
1583;5;18;ELAX_376.sp;01:06;9;5;B;9;B;5;16;13
