;BAC;Fin;gen;graines;boite;grain;RANG;boite;rang OK;Debut;X;Y
441;2;84;ELAX_207.sp;01:06;5;2;H;5;G;8;11;6
486;2;66;ELAX_356.sp;01:06;8;2;F;8;F;2;12;6
401;2;36;ELAX_94.sp;01:06;3;2;D;3;C;8;13;6
542;2;18;GQAX_139.sp;01:06;12;2;B;12;B;2;14;6
504;2;78;ELAX_402.sp;01:06;9;2;G;9;G;2;15;6
467;2;48;ELAX_298.sp;01:06;7;2;E;7;D;8;16;6
424;2;78;GQAX_175.sp;01:06;4;2;G;4;G;2;1;7
377;2;84;ELAX_13.sp;01:06;1;2;H;1;G;8;2;7
455;2;72;ELAX_250.sp;01:06;6;2;G;6;F;8;3;7
379;2;96;ELAX_41.sp;01:06;1;2;I;1;H;8;4;7
450;2;42;ELAX_239.sp;01:06;6;2;D;6;D;2;5;7
454;2;66;ELAX_244.sp;01:06;6;2;F;6;F;2;6;7
489;2;84;ELAX_368.sp;01:06;8;2;H;8;G;8;7;7
421;2;60;ELAX_153.sp;01:06;4;2;F;4;E;8;8;7
453;2;60;ELAX_243.sp;01:06;6;2;F;6;E;8;9;7
496;2;30;ELAX_383.sp;01:06;9;2;C;9;C;2;10;7
407;2;72;ELAX_104.sp;01:06;3;2;G;3;F;8;11;7
297;2;24;ELAX_344.sp;07:12;8Bis;1;C;8Bis;B;7;12;7
465;2;36;ELAX_292.sp;01:06;7;2;D;7;C;8;13;7
538;2;90;GQAX_112.sp;01:06;11;2;H;11;H;2;14;7
249;2;24;ELAX_188.sp;07:12;5Bis;1;C;5Bis;B;7;15;7
544;2;48;ELAX_453;01:06;12;2;E;12;D;8;16;7
374;2;66;ELAX_31.sp;01:06;1;2;F;1;F;2;1;8
543;2;24;GQAX_149.sp;01:06;12;2;C;12;B;8;2;8
425;2;84;ELAX_176.sp;01:06;4;2;H;4;G;8;3;8
429;2;12;ELAX_185.sp;01:06;5;2;B;5;A;8;4;8
384;2;30;GQAX_67.sp;01:06;2;2;C;2;C;2;5;8
290;2;78;ELAX_315.sp;07:12;7Bis;1;G;7Bis;G;1;6;8
415;2;24;ELAX_130.sp;01:06;4;2;C;4;B;8;7;8
192;2;66;ELAX_31.sp;07:12;1Bis;1;F;1Bis;F;1;8;8
444;2;6;ELAX_227.sp;01:06;6;2;A;6;A;2;9;8
525;2;12;ELAX_465.sp;01:06;11;2;B;11;A;8;10;8
387;2;48;ELAX_70.sp;01:06;2;2;E;2;D;8;11;8
440;2;78;ELAX_202.sp;01:06;5;2;G;5;G;2;12;8
251;2;36;ELAX_192.sp;07:12;5Bis;1;D;5Bis;C;7;13;8
406;2;66;ELAX_101.sp;01:06;3;2;F;3;F;2;14;8
470;2;66;ELAX_309.sp;01:06;7;2;F;7;F;2;15;8
391;2;72;GQAX_75.sp;01:06;2;2;G;2;F;8;16;8
365;2;12;GQAX_4.sp;01:06;1;2;B;1;A;8;1;9
416;2;30;ELAX_131.sp;01:06;4;2;C;4;C;2;2;9
281;2;24;ELAX_279.sp;07:12;7Bis;1;C;7Bis;B;7;3;9
437;2;60;ELAX_198.sp;01:06;5;2;F;5;E;8;4;9
232;2;18;ELAX_124.sp;07:12;4Bis;1;B;4Bis;B;1;5;9
533;2;60;ELAX_485.sp;01:06;11;2;F;11;E;8;6;9
534;2;66;ELAX_486.sp;01:06;11;2;F;11;F;2;7;9
296;2;18;ELAX_341.sp;07:12;8Bis;1;B;8Bis;B;1;8;9
457;2;84;ELAX_252.sp;01:06;6;2;H;6;G;8;9;9
422;2;66;ELAX_165.sp;01:06;4;2;F;4;F;2;10;9
452;2;54;ELAX_241.sp;01:06;6;2;E;6;E;2;11;9
369;2;36;GQAX_10.sp;01:06;1;2;D;1;C;8;12;9
408;2;78;ELAX_114.sp;01:06;3;2;G;3;G;2;13;9
257;2;72;ELAX_201.sp;07:12;5Bis;1;G;5Bis;F;7;14;9
243;2;84;ELAX_176.sp;07:12;4Bis;1;H;4Bis;G;7;15;9
521;2;84;ELAX_460.sp;01:06;10;2;H;10;G;8;16;9
403;2;48;ELAX_96.sp;01:06;3;2;E;3;D;8;1;10
539;2;96;GQAX_116.sp;01:06;11;2;I;11;H;8;2;10
270;2;54;ELAX_241.sp;07:12;6Bis;1;E;6Bis;E;1;3;10
464;2;30;ELAX_288.sp;01:06;7;2;C;7;C;2;4;10
205;2;48;ELAX_70.sp;07:12;2Bis;1;E;2Bis;D;7;5;10
456;2;78;ELAX_251.sp;01:06;6;2;G;6;G;2;6;10
509;2;12;ELAX_416.sp;01:06;10;2;B;10;A;8;7;10
367;2;24;ELAX_6.sp;01:06;1;2;C;1;B;8;8;10
518;2;66;ELAX_447.sp;01:06;10;2;F;10;F;2;9;10
513;2;36;ELAX_428.sp;01:06;10;2;D;10;C;8;10;10
480;2;30;ELAX_345.sp;01:06;8;2;C;8;C;2;11;10
385;2;36;ELAX_68.sp;01:06;2;2;D;2;C;8;12;10
393;2;84;ELAX_143.sp;01:06;2;2;H;2;G;8;13;10
417;2;36;GQAX_140.sp;01:06;4;2;D;4;C;8;14;10
475;2;96;ELAX_331.sp;01:06;7;2;I;7;H;8;15;10
488;2;78;ELAX_367.sp;01:06;8;2;G;8;G;2;16;10
459;2;96;ELAX_262.sp;01:06;6;2;I;6;H;8;1;11
426;2;90;ELAX_179.sp;01:06;4;2;H;4;H;2;2;11
469;2;60;ELAX_305.sp;01:06;7;2;F;7;E;8;3;11
436;2;54;ELAX_197.sp;01:06;5;2;E;5;E;2;4;11
434;2;42;ELAX_194.sp;01:06;5;2;D;5;D;2;5;11
529;2;36;ELAX_476.sp;01:06;11;2;D;11;C;8;6;11
432;2;30;GQAX_189.sp;01:06;5;2;C;5;C;2;7;11
390;2;66;ELAX_74.sp;01:06;2;2;F;2;F;2;8;11
353;2;72;ELAX_488.sp;07:12;11Bis;1;G;11Bis;F;7;9;11
431;2;24;ELAX_188.sp;01:06;5;2;C;5;B;8;10;11
404;2;54;ELAX_99.sp;01:06;3;2;E;3;E;2;11;11
383;2;24;ELAX_65.sp;01:06;2;2;C;2;B;8;12;11
506;2;90;ELAX_410.sp;01:06;9;2;H;9;H;2;13;11
396;2;6;GQAX_83.sp;01:06;3;2;A;3;A;2;14;11
507;2;96;ELAX_412.sp;01:06;9;2;I;9;H;8;15;11
372;2;54;ELAX_28.sp;01:06;1;2;E;1;E;2;16;11
462;2;18;ELAX_278.sp;01:06;7;2;B;7;B;2;1;12
413;2;12;ELAX_122.sp;01:06;4;2;B;4;A;8;2;12
378;2;90;ELAX_40.sp;01:06;1;2;H;1;H;2;3;12
497;2;36;ELAX_385.sp;01:06;9;2;D;9;C;8;4;12
501;2;60;ELAX_395.sp;01:06;9;2;F;9;E;8;5;12
482;2;42;ELAX_348.sp;01:06;8;2;D;8;D;2;6;12
433;2;36;ELAX_192.sp;01:06;5;2;D;5;C;8;7;12
445;2;12;ELAX_229.sp;01:06;6;2;B;6;A;8;8;12
484;2;54;ELAX_352.sp;01:06;8;2;E;8;E;2;9;12
505;2;84;ELAX_407.sp;01:06;9;2;H;9;G;8;10;12
278;2;6;ELAX_265.sp;07:12;7Bis;1;A;7Bis;A;1;11;12
397;2;12;ELAX_85.sp;01:06;3;2;B;3;A;8;12;12
532;2;54;ELAX_483.sp;01:06;11;2;E;11;E;2;13;12
398;2;18;ELAX_89.sp;01:06;3;2;B;3;B;2;14;12
381;2;12;ELAX_51.sp;01:06;2;2;B;2;A;8;15;12
527;2;24;ELAX_470.sp;01:06;11;2;C;11;B;8;16;12
491;2;96;ELAX_371.sp;01:06;8;2;I;8;H;8;1;13
474;2;90;ELAX_329.sp;01:06;7;2;H;7;H;2;2;13
409;2;84;ELAX_117.sp;01:06;3;2;H;3;G;8;3;13
537;2;84;ELAX_504.sp;01:06;11;2;H;11;G;8;4;13
540;2;6;GQAX_126.sp;01:06;12;2;A;12;A;2;5;13
228;2;90;ELAX_118.sp;07:12;3Bis;1;H;3Bis;H;1;6;13
439;2;72;ELAX_201.sp;01:06;5;2;G;5;F;8;7;13
327;2;12;ELAX_416.sp;07:12;10Bis;1;B;10Bis;A;7;8;13
477;2;12;ELAX_336.sp;01:06;8;2;B;8;A;8;9;13
402;2;42;GQAX_95.sp;01:06;3;2;D;3;D;2;10;13
420;2;54;ELAX_148.sp;01:06;4;2;E;4;E;2;11;13
510;2;18;ELAX_423.sp;01:06;10;2;B;10;B;2;12;13
399;2;24;GQAX_91.sp;01:06;3;2;C;3;B;8;13;13
263;2;12;ELAX_229.sp;07:12;6Bis;1;B;6Bis;A;7;14;13
479;2;24;ELAX_344.sp;01:06;8;2;C;8;B;8;15;13
392;2;78;GQAX_76.sp;01:06;2;2;G;2;G;2;16;13
